"news","package_name","version","source","date_added_to_list","cran_check","warnings","errors","vignette_error","comments"
"mod","argosTrack","1.2.2.1","github","2020-01-01",TRUE,FALSE,FALSE,FALSE,""
"mod","SwimR","1.29.0","bioc","2020-01-01",TRUE,FALSE,FALSE,FALSE,"heatmap.plus (dependency) is now archived on CRAN. Last version can be installed withÂ : remotes::install_version(""heatmap.plus"", ""1.3"")"
"mod","diveMove","1.6.0","cran","2020-01-01",TRUE,NA,NA,NA,""
"mod","VTrack",NA,"cran","2020-01-01",FALSE,NA,TRUE,NA,""
"mod","Rhabit","0.2.0","github","2020-07-01",TRUE,FALSE,FALSE,FALSE,""
"new","geoviz",NA,"cran","2020-07-01",NA,NA,NA,NA,"Doesn't count as tracking package"
"new","gtfs2gps","1.5-4","cran","2020-07-19",TRUE,NA,NA,NA,""
"new","RNCEP","1.0.10","cran","2020-07-19",TRUE,NA,NA,NA,""
"new","bayesmove","0.2.0","cran","2021-02-07",TRUE,NA,NA,NA,""
"new","sftrack","0.5.3","cran","2021-02-07",TRUE,NA,NA,NA,""
